零轴下方MA5筛选结果：
sh.600073, sh.600230, sh.600273, sh.600300, sh.600502, sh.600567, sh.600582, sh.600583, sh.600610, sh.600644, 
sh.600645, sh.600713, sh.600726, sh.600744, sh.600755, sh.600764, sh.600780, sh.600789, sh.600794, sh.600798, 
sh.600812, sh.600882, sh.600919, sh.600926, sh.600982, sh.601096, sh.601117, sh.601187, sh.601700, sh.601718, 
sh.601860, sh.601939, sh.603128, sh.603223, sh.603323, sz.000519, sz.000531, sz.000563, sz.000601, sz.000652, 
sz.000719, sz.000767, sz.000768, sz.000859, sz.000900, sz.000927, sz.000968, sz.001227, sz.002081, sz.002094, 
sz.002165, sz.002189, sz.002375, sz.002376, sz.002389, sz.002393, sz.002427, sz.002440, sz.002721, sz.002807, 

sz.002839, sz.002936, sz.002940, sz.002948, sz.002958, sz.002961, sz.002966, sz.002988, sz.003037


003037	4
002988	1
002966	1	苏州银行
002961	4
002958	1
002948	1
002940	4
002936	4
002839	4
002807	1
002721	4
002440	1
002427	4
002393	4
002389	11
002376	1
002375	4
002189	11
002165	4
002094	4
002081	4
001227	4
000968	4
000927	4
000900	1
000859	4
000768	1
000767	1
000719	1
000652	4
000601	4
000563	4
000531	4
000519	1
603323	1	苏农银行
603223	4
603128	1	齐鲁银行
603128	4
601939	1	建行
601860	4
601718	1
601700	4
601187	4
601117	1
601096	4
600982	4
600926	1	杭行
600919	1	江行
600882	1
600812	1
600798	4
600794	4
600789	4
600780	1
600764	1
600755	4
600744	1
600726	1
600713	1
600645	4
600644	4
600610	4
600583	1
600582	1
600567	4
600502	4
600300	4
600273	1
600230	1
600073	4
