零轴上方MA52筛选结果：
sh.600110, sh.600111, sh.600203, sh.600246, sh.600301, sh.600338, sh.600367, sh.600392, sh.600410, sh.600416, 
sh.600425, sh.600481, sh.600503, sh.600549, sh.600658, sh.600839, sh.600977, sh.601059, sh.601099, sh.601519, 
sh.601609, sh.601929, sh.603099, sh.603101, sh.603131, sh.603158, sh.603222, sh.603579, sh.603615, sh.603767, 
sh.605188, sh.605378, sz.000070, sz.000420, sz.000524, sz.000558, sz.000592, sz.000628, sz.000657, sz.000676, 
sz.000821, sz.000831, sz.000833, sz.000973, sz.001283, sz.001298, sz.002031, sz.002046, sz.002052, sz.002108, 
sz.002167, sz.002173, sz.002177, sz.002192, sz.002194, sz.002212, sz.002251, sz.002369, sz.002378, sz.002446, 

sz.002467, sz.002491, sz.002536, sz.002547, sz.002553, sz.002645, sz.002655, sz.002685, sz.002815, sz.002843, sz.002881, sz.002915, sz.002941, sz.002993, sz.003019


003019	0
002993	22
002941	0
002915	1
002881	4
002843	4
002815	0
002685	4
002655	4
002645	4
002553	4
002547	2
002536	4
002491	1
002467	1
002446	0
002378	2
002369	4
002251	2
002212	1
002194	4
002192	4
002177	4
002173	1
002167	2
002108	4
002052	2
002046	0
002031	4
001298	4
001283	4
000973	4
000833	4
000831	2
000821	2
000676	1
000657	1
000628	4
000592	4
000558	4
000524	1
000420	4
000070	0
605378	0
605188	00
603767	4
603615	1
603579	4
603222	0
603158	4
603131	4
603101	0
603099	0
601929	11
601609	4
601519	4
600110	1
600111	1
600203	4
600246	0
600301	0
600338	4
600367	1
600392	11
600410	0
600416	4
600425	4
600481	4
600503	0
600549	2
600658	4
600839	4
600977	1
601059	4
601099	1
