零轴下方双底筛选结果：
sh.600073, sh.600117, sh.600155, sh.600197, sh.600216, sh.600230, sh.600259, sh.600326, sh.600352, sh.600390, 
sh.600452, sh.600475, sh.600507, sh.600589, sh.600610, sh.600645, sh.600650, sh.600698, sh.600733, sh.600771, 
sh.600841, sh.600860, sh.600861, sh.600862, sh.600887, sh.600955, sh.600967, sh.600999, sh.601003, sh.601211, 

sh.601216, sh.601456, sh.601658, sh.601696, sh.601698, sh.601811, sh.601878, sh.601990, sh.603033, sh.603039, sh.603123, sh.603155, sh.603206, sh.603211, sh.603212, sh.603333, sh.603408, sh.603439, sh.603466, sh.603528, sh.603579, sh.603599, sh.603601, sh.603636, sh.603716, sh.603868, sh.603912, sh.605118, sh.605183, sh.605296, sz.000541, sz.000547, sz.000551, sz.000561, sz.000712, sz.000795, sz.000869, sz.000880, sz.000915, sz.000958, sz.000963, sz.000989, sz.001308, sz.002075, sz.002092, sz.002093, sz.002094, sz.002096, sz.002189, sz.002254, sz.002268, sz.002332, sz.002345, sz.002352, sz.002408, sz.002506, sz.002537, sz.002577, sz.002640, sz.002651, sz.002653, sz.002673, sz.002676, sz.002688, sz.002721, sz.002730, sz.002749, sz.002755, sz.002777, sz.002926, sz.002951, sz.002987, sz.002988, sz.003009, sz.003010


601211	4
601003	4
600999	4
600967	1
600955	4
600887	4
600862	4
600861	4
600860	4
600841	4
600771	1
600733	4
600698	1
600650	4
600645	1
600610	4
600589	4
600507	2
600475	1
600452	1
600390	4
600352	1
600326	1
600259	2	有破位风险
600230	1
600216	1
600197	1
600155	1
600117	1
600073	1
